Species,Species_code,Week,long_mean,lat_mean,long_median,lat_median,dist,cluster2,cluster3,cluster4,hcluster2,hcluster3,hcluster4
American Avocet,ameavo,1,-100.959,26.38675,-101.004,25.5083,164.7376689,2,2,2,1,2,2
American Avocet,ameavo,2,-101.073,26.85825,-101.335,26.0935,0,2,2,2,1,2,2
American Avocet,ameavo,3,-101.994,27.35852,-102.329,26.5457,3.525934964,2,2,2,1,2,2
American Avocet,ameavo,4,-102.313,27.46947,-102.798,26.7585,4.656895236,2,2,2,1,2,2
American Avocet,ameavo,5,-102.837,27.56833,-103.819,26.7319,6.469758024,2,2,2,1,2,2
American Avocet,ameavo,6,-103.464,27.68925,-104.592,26.6787,8.631887951,2,2,2,1,2,2
American Avocet,ameavo,7,-104.674,28.57125,-105.475,27.7161,13.6047868,2,2,2,1,2,2
American Avocet,ameavo,8,-106.023,28.67935,-106.662,27.4235,18.2284185,2,2,2,1,2,2
American Avocet,ameavo,9,-106.946,29.33677,-107.269,28.7003,22.03709353,2,2,2,1,2,2
American Avocet,ameavo,10,-106.935,29.69059,-107.38,29.0594,23.1680538,2,2,2,1,2,2
American Avocet,ameavo,11,-107.005,30.63048,-107.076,31.0677,26.16177216,2,2,2,1,2,2
American Avocet,ameavo,12,-106.714,31.4317,-106.386,32.7967,28.92264577,2,2,2,1,2,2
American Avocet,ameavo,13,-107.267,32.02929,-106.386,33.5947,31.6169923,2,2,2,1,2,2
American Avocet,ameavo,14,-107.847,33.01023,-106.91,34.3395,35.35914025,2,2,2,1,2,2
American Avocet,ameavo,15,-106.959,36.33932,-106.193,37.3719,46.3860029,2,2,2,1,2,2
American Avocet,ameavo,16,-103.839,43.32699,-102.246,45.1923,71.00102058,2,2,2,1,2,2
American Avocet,ameavo,17,-104.454,44.60014,-103.819,46.9213,75.62465228,2,2,2,1,2,2
American Avocet,ameavo,18,-104.599,44.78935,-103.957,47.0543,76.40634541,2,2,2,1,2,2
American Avocet,ameavo,19,-105.279,45.0551,-104.675,47.7193,78.86784717,2,2,2,1,2,2
American Avocet,ameavo,20,-105.387,45.03514,-104.84,47.5331,79.25037785,2,2,2,1,2,2
American Avocet,ameavo,21,-105.478,45.18717,-105.034,47.5331,79.83248976,2,2,2,1,2,2
American Avocet,ameavo,22,-106.042,45.33545,-105.558,47.6129,81.81167024,2,2,2,1,2,2
American Avocet,ameavo,23,-106.301,45.35247,-105.834,47.7193,82.70978577,2,2,2,1,2,2
American Avocet,ameavo,24,-106.221,45.23574,-105.724,47.5597,83.17547528,2,2,2,1,2,2
American Avocet,ameavo,25,-106.217,44.92558,-105.696,47.3469,84.15674959,2,2,2,1,2,2
American Avocet,ameavo,26,-106.014,44.52123,-105.365,46.8681,85.62034528,2,2,2,1,2,2
American Avocet,ameavo,27,-105.744,43.95443,-104.868,46.0967,87.63278927,2,2,2,1,2,2
American Avocet,ameavo,28,-105.46,43.33048,-104.454,45.4317,89.82818276,2,2,2,1,2,2
American Avocet,ameavo,29,-104.922,42.34371,-104.012,43.7825,93.45390829,2,2,2,1,2,2
American Avocet,ameavo,30,-105.131,42.54768,-104.426,44.2879,94.41855089,2,2,2,1,2,2
American Avocet,ameavo,31,-105.366,42.78253,-104.813,44.8997,95.49961585,2,2,2,1,2,2
American Avocet,ameavo,32,-105.767,42.9533,-105.613,44.8465,97.01310683,2,2,2,1,2,2
American Avocet,ameavo,33,-105.575,41.42697,-105.696,41.5747,101.9860057,2,2,2,1,2,2
American Avocet,ameavo,34,-104.687,40.31766,-104.592,39.3403,106.6429009,2,2,2,1,2,2
American Avocet,ameavo,35,-104.459,39.27463,-104.068,37.9039,110.0357817,2,2,2,1,2,2
American Avocet,ameavo,36,-104.089,38.47588,-103.322,37.2921,112.8798141,2,2,2,1,2,2
American Avocet,ameavo,37,-103.674,38.1937,-102.743,37.3719,114.5429911,2,2,2,1,2,2
American Avocet,ameavo,38,-103.13,37.54129,-102.577,36.6537,117.3371282,2,2,2,1,2,2
American Avocet,ameavo,39,-103.017,36.70032,-102.632,35.3503,120.08137,2,2,2,1,2,2
American Avocet,ameavo,40,-103.4,36.35763,-102.908,35.0843,121.811074,2,2,2,1,2,2
American Avocet,ameavo,41,-102.895,35.00914,-102.688,33.9671,126.4679692,2,2,2,1,2,2
American Avocet,ameavo,42,-102.702,34.02242,-102.356,33.2489,129.6612688,2,2,2,1,2,2
American Avocet,ameavo,43,-102.083,32.9127,-101.97,32.1849,133.7693157,2,2,2,1,2,2
American Avocet,ameavo,44,-102.132,30.06997,-102.274,29.2589,142.7837343,2,2,2,1,2,2
American Avocet,ameavo,45,-102.132,28.15396,-102.218,26.7053,148.8875934,2,2,2,1,2,2
American Avocet,ameavo,46,-103.054,27.23027,-102.439,25.7743,153.2118533,2,2,2,1,2,2
American Avocet,ameavo,47,-103.126,26.65303,-102.356,25.4817,155.0912431,2,2,2,1,2,2
American Avocet,ameavo,48,-102.939,26.33764,-102.412,25.4817,156.2887305,2,2,2,1,2,2
American Avocet,ameavo,49,-102.684,25.92962,-102.632,25.2157,157.8521167,2,2,2,1,2,2
American Avocet,ameavo,50,-102.177,25.67555,-102.218,25.1625,159.7647702,2,2,2,1,2,2
American Avocet,ameavo,51,-101.466,25.83937,-101.363,25.2157,162.2595354,2,2,2,1,2,2
American Avocet,ameavo,52,-101.159,26.12086,-100.935,25.3487,163.6399722,2,2,2,1,2,2
American Black Duck,ambduc,1,-77.8623,40.14184,-77.13,40.1915,99.51977179,2,2,2,1,1,1
American Black Duck,ambduc,2,-78.1639,40.13497,-77.268,40.1649,0,2,2,2,1,1,1
American Black Duck,ambduc,3,-78.2686,40.19985,-77.1576,40.3245,0.412235871,2,2,2,1,1,1
American Black Duck,ambduc,4,-78.339,40.25145,-77.268,40.3777,0.70381734,2,2,2,1,1,1
American Black Duck,ambduc,5,-78.418,40.1443,-77.7372,40.2447,1.146216811,2,2,2,1,1,1
American Black Duck,ambduc,6,-78.5992,39.98001,-78.5376,40.1117,1.970688551,2,2,2,1,1,1
American Black Duck,ambduc,7,-79.2548,40.23969,-79.7244,40.4043,4.353612972,2,2,2,1,1,1
American Black Duck,ambduc,8,-80.5324,40.69256,-82.0704,40.8831,8.918371146,2,2,2,1,1,1
American Black Duck,ambduc,9,-80.7905,40.94971,-82.788,41.0427,10.14502423,2,2,2,1,1,1
American Black Duck,ambduc,10,-80.7453,41.17341,-82.5948,41.2023,10.87900516,2,2,2,1,1,1
American Black Duck,ambduc,11,-80.686,41.36708,-82.0704,41.3885,11.5224953,2,2,2,1,1,1
American Black Duck,ambduc,12,-80.5802,41.54703,-81.8496,41.6013,12.19614904,2,2,2,1,1,1
American Black Duck,ambduc,13,-80.3567,41.95874,-81.546,42.0003,13.70432906,2,2,2,1,1,1
American Black Duck,ambduc,14,-79.8767,42.30828,-80.856,42.4525,15.67501761,2,2,2,1,1,1
American Black Duck,ambduc,15,-78.696,43.63892,-78.924,43.6761,21.48653793,2,2,2,1,1,1
American Black Duck,ambduc,16,-77.3909,45.00446,-77.1576,45.1923,27.67007598,2,2,2,1,1,1
American Black Duck,ambduc,17,-76.0362,45.94809,-76.1088,46.1499,33.1497967,2,2,2,1,1,1
American Black Duck,ambduc,18,-75.1743,46.46471,-75.5568,46.6553,36.49795633,2,2,2,1,1,1
American Black Duck,ambduc,19,-74.9453,46.68046,-75.4464,46.8149,37.55368233,2,2,2,1,1,1
American Black Duck,ambduc,20,-75.2741,47.0213,-75.6672,47.0543,39.14229862,2,2,2,1,1,1
American Black Duck,ambduc,21,-75.6834,47.3354,-75.9984,47.2937,40.84151476,2,2,2,1,1,1
American Black Duck,ambduc,22,-76.4049,47.96522,-76.4952,47.7459,43.99863826,2,2,2,1,1,1
American Black Duck,ambduc,23,-76.8768,48.17633,-76.6884,47.8789,45.73807254,2,2,2,1,1,1
American Black Duck,ambduc,24,-77.2847,48.42372,-76.9644,47.9587,47.33674336,2,2,2,1,1,1
American Black Duck,ambduc,25,-77.1745,48.44905,-77.0472,47.9587,47.73892469,2,2,2,1,1,1
American Black Duck,ambduc,26,-76.7196,48.03389,-76.854,47.6129,49.77999498,2,2,2,1,1,1
American Black Duck,ambduc,27,-76.4961,47.62521,-76.7436,47.3203,51.28817499,2,2,2,1,1,1
American Black Duck,ambduc,28,-76.0761,47.43608,-76.4952,47.2139,52.8566822,2,2,2,1,1,1
American Black Duck,ambduc,29,-75.2683,47.4986,-76.1916,47.2937,55.61162437,2,2,2,1,1,1
American Black Duck,ambduc,30,-74.6303,47.84913,-75.9984,47.5863,58.08503959,2,2,2,1,1,1
American Black Duck,ambduc,31,-75.0103,47.91412,-76.2744,47.7193,59.412238,2,2,2,1,1,1
American Black Duck,ambduc,32,-75.7426,47.75429,-76.6332,47.6395,61.95603495,2,2,2,1,1,1
American Black Duck,ambduc,33,-75.4493,47.7786,-76.7436,47.7725,62.95143376,2,2,2,1,1,1
American Black Duck,ambduc,34,-76.5726,47.77114,-77.406,47.7725,66.76210193,2,2,2,1,1,1
American Black Duck,ambduc,35,-77.0663,47.63415,-77.4336,47.7193,68.49148168,2,2,2,1,1,1
American Black Duck,ambduc,36,-77.396,47.68489,-77.5164,47.9055,69.64775302,2,2,2,1,1,1
American Black Duck,ambduc,37,-77.4493,47.31476,-77.3508,47.6927,70.88446063,2,2,2,1,1,1
American Black Duck,ambduc,38,-77.1445,46.97663,-77.1852,47.4267,72.38258611,2,2,2,1,1,1
